ż,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,ó,,,,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,ł,ł,,,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,ń,,ł,ł,ł,,,ń,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,ł,ł,ł,ł,ł,ł,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,ł,ł,ł,ł,ł,ł,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,ń,ń,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,ń,,ł,ł,ł,ł,,ń,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,ń,ń,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,ł,ł,,,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,,ł,,,,ł,,,,,,,,,,,,,,,,,,,,,,,ń,ń,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,,,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,ł,ł,ł,ł,,ł,,,,,,,,,,,,,,,,,,,,,,,ń,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,ł,ł,ł,ł,ł,ł,,,,,,,,,,,,,,,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,ł,ł,ł,ł,ł,ł,,,,,,,,,,,,,,,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,ł,ł,ł,ł,ł,ł,ł,ł,,,,,,,,,,,,,,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,ł,ł,ł,ł,ł,ł,ł,,,,,,,,,,,,,,,,,,,,,,,┼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,ł,,ł,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,ń,ń,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,ń,ń,ń,ń,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,┼,,,,,ż
ż,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ż
ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż
